EPC,Phase,RSSI,Doppler
300833B2DDD9014000000000,3.466796581,-45,10.5625
300833B2DDD9014000000029,1.938951716,-33.5,-4.875
300833B2DDD9014000000000,3.564971351,-54.5,22.75
300833B2DDD9014000000013,2.362330413,-41.5,-1.625
300833B2DDD9014000000000,1.840776945,-42.5,-3.25
300833B2DDD9014000000000,4.460816131,-36,9.75
300833B2DDD9014000000001,2.104621641,-54.5,-1.625
300833B2DDD9014000000015,3.03728196,-58,-1.625
300833B2DDD9014000000000,0.809941856,-55,11.375
300833B2DDD9014000000000,3.509748043,-46,15.4375
300833B2DDD9014000000000,2.724349879,-41,1.625
300833B2DDD9014000000004,3.36862181,-57,23.5625
300833B2DDD901400000002D,5.85980661,-37,4.875
300833B2DDD9014000000000,1.018563243,-42.5,7.3125
300833B2DDD901400000002E,3.380893656,-55,11.375
300833B2DDD901400000000D,1.687378867,-39.5,-3.25
300833B2DDD9014000000000,0.589048623,-61.5,88.6875
300833B2DDD9014000000031,1.000155474,-55,-21.9375
300833B2DDD9014000000000,0.030679616,-47,-3.25
300833B2DDD901400000000F,3.546563582,-52,20.3125
300833B2DDD9014000000000,1.730330329,-59.5,-22.75
300833B2DDD9014000000000,0.165669925,-47,0
300833B2DDD9014000000016,2.405281875,-46,-3.25
300833B2DDD9014000000000,1.214912784,-55,-4.875
300833B2DDD9014000000000,4.301282129,-55,18.6875
300833B2DDD9014000000011,1.889864331,-57.5,-21.125
300833B2DDD9014000000012,2.577087724,-50.5,3.25
300833B2DDD9014000000000,1.36217494,-61.5,-8.9375
300833B2DDD9014000000000,5.970253226,-56.5,-1.625
300833B2DDD9014000000000,2.828660573,-53,3.25
300833B2DDD9014000000000,0.030679616,-47,-3.25
300833B2DDD9014000000018,2.521864415,-32.5,-3.25
300833B2DDD9014000000029,1.932815793,-33.5,-3.25
300833B2DDD901400000002D,5.85980661,-37,1.625
300833B2DDD9014000000000,0.859029241,-55,0
300833B2DDD901400000001A,1.374446786,-35.5,4.875
300833B2DDD901400000000F,3.528155812,-52,25.1875
300833B2DDD9014000000000,1.030835089,-42.5,1.625
300833B2DDD9014000000000,0.122718463,-33,0
300833B2DDD9014000000000,1.816233253,-42.5,0
300833B2DDD9014000000006,3.38702958,-39.5,8.9375
300833B2DDD9014000000000,5.982525073,-34.5,-4.875
300833B2DDD901400000001D,3.209087808,-32.5,-3.25
300833B2DDD9014000000008,3.325670348,-36.5,6.5
300833B2DDD9014000000001,1.951223562,-37.5,-8.9375
300833B2DDD9014000000002,2.423689645,-32.5,-3.25
300833B2DDD9014000000000,3.264311117,-37,1.625
300833B2DDD9014000000000,0.938796242,-61,-15.4375
300833B2DDD9014000000000,2.509592569,-29,-8.125
300833B2DDD9014000000016,2.411417799,-46,-4.875
300833B2DDD9014000000031,0.920388473,-55,-3.25
300833B2DDD901400000000D,1.67510702,-40,1.625
300833B2DDD9014000000000,4.473087977,-36,8.125
300833B2DDD9014000000000,2.80411688,-53,15.4375
300833B2DDD9014000000015,2.994330498,-58,22.75
300833B2DDD901400000000C,1.69351479,-42,1.625
300833B2DDD9014000000000,4.289010283,-54.5,21.125
300833B2DDD9014000000000,1.331495324,-50.5,-4.875
300833B2DDD9014000000000,2.70594211,-41,8.125
300833B2DDD9014000000000,1.196505015,-55,0
300833B2DDD9014000000000,3.48520435,-45,4.875
300833B2DDD9014000000000,1.846912869,-42.5,-3.25
300833B2DDD901400000000B,0.11658254,-55.5,-15.4375
300833B2DDD9014000000000,5.982525073,-56.5,3.25
300833B2DDD9014000000000,3.534291735,-46,11.375
300833B2DDD9014000000003,1.754874021,-53,-4.875
300833B2DDD9014000000019,2.595495493,-45.5,1.625
300833B2DDD9014000000000,1.724194406,-59.5,-3.25
300833B2DDD9014000000000,0.245436926,-47.5,-4.875
300833B2DDD9014000000011,1.865320638,-57.5,-10.5625
300833B2DDD9014000000013,2.362330413,-41.5,3.25
300833B2DDD9014000000001,2.092349795,-55,-3.25
300833B2DDD9014000000000,3.60178689,-55,15.4375
300833B2DDD9014000000000,0.159534002,-46.5,-1.625
300833B2DDD9014000000004,3.38702958,-57,9.75
300833B2DDD901400000002E,3.405437349,-54.5,3.25
300833B2DDD9014000000012,2.577087724,-50,0
300833B2DDD9014000000000,1.300815708,-62,4.875
300833B2DDD9014000000029,1.938951716,-34,-4.875
300833B2DDD9014000000000,4.473087977,-36,8.125
300833B2DDD9014000000000,0.134990309,-33,-7.3125
300833B2DDD9014000000001,1.945087639,-38,3.25
300833B2DDD9014000000019,2.595495493,-45.5,4.875
300833B2DDD9014000000000,2.509592569,-29,-6.5
300833B2DDD901400000000D,1.687378867,-39.5,-4.875
300833B2DDD9014000000000,0.171805848,-47,-1.625
300833B2DDD901400000001A,1.380582709,-35.5,0
300833B2DDD9014000000000,1.466485633,-61,-50.4375
300833B2DDD901400000002D,5.872078456,-37,1.625
300833B2DDD9014000000000,1.202640938,-55,-3.25
300833B2DDD9014000000012,2.577087724,-50.5,0
300833B2DDD9014000000002,2.429825568,-32.5,-3.25
300833B2DDD901400000000C,1.69351479,-42,1.625
300833B2DDD9014000000000,0.220893233,-48,-1.625
300833B2DDD9014000000008,3.331806271,-36.5,3.25
300833B2DDD9014000000000,3.522019889,-46,17.0625
300833B2DDD9014000000000,3.276582963,-37,1.625
300833B2DDD901400000000B,0.122718463,-56,-11.375
300833B2DDD901400000001D,3.221359655,-32.5,-6.5
300833B2DDD9014000000000,3.48520435,-45,10.5625
300833B2DDD9014000000000,1.319223478,-50.5,-1.625
300833B2DDD901400000000F,3.540427658,-52,25.1875
300833B2DDD9014000000006,3.38702958,-40,9.75
300833B2DDD9014000000000,1.834641022,-42.5,-4.875
300833B2DDD9014000000000,0.049087385,-47,-1.625
300833B2DDD9014000000000,1.853048792,-42.5,-3.25
300833B2DDD9014000000018,2.528000338,-32.5,-1.625
300833B2DDD9014000000011,1.865320638,-58,-10.5625
300833B2DDD9014000000000,1.043106936,-42.5,3.25
300833B2DDD9014000000000,5.964117303,-34.5,1.625
300833B2DDD9014000000013,2.37460226,-41.5,1.625
300833B2DDD9014000000000,2.816388727,-53,13.8125
300833B2DDD9014000000016,2.393010029,-46,-1.625
300833B2DDD9014000000000,2.724349879,-41,3.25
300833B2DDD9014000000000,5.970253226,-56.5,-4.875
300833B2DDD9014000000003,1.724194406,-53,1.625
300833B2DDD9014000000031,0.987883627,-55,-11.375
300833B2DDD901400000002E,3.350214041,-55,15.4375
300833B2DDD9014000000004,3.36862181,-57.5,30.0625
300833B2DDD9014000000000,3.620194659,-55,10.5625
300833B2DDD9014000000001,2.092349795,-55,-1.625
300833B2DDD9014000000015,3.03728196,-58.5,1.625
300833B2DDD9014000000000,0.944932165,-61.5,-1.625
300833B2DDD9014000000000,0.89584478,-55.5,-9.75
300833B2DDD9014000000000,1.711922559,-59.5,-7.3125
300833B2DDD9014000000000,4.307418052,-54.5,17.0625
300833B2DDD901400000001D,3.209087808,-33,0
300833B2DDD9014000000000,5.97638915,-34.5,-1.625
300833B2DDD901400000000F,3.540427658,-52,26.8125
300833B2DDD901400000001A,1.374446786,-35.5,1.625
300833B2DDD901400000002D,5.872078456,-37,0
300833B2DDD901400000000C,1.69351479,-42,3.25
300833B2DDD9014000000004,3.337942194,-57.5,26.8125
300833B2DDD9014000000000,3.534291735,-46,9.75
300833B2DDD9014000000016,2.405281875,-46,-3.25
300833B2DDD9014000000000,0.061359232,-47,-9.75
300833B2DDD9014000000000,0.122718463,-33,-1.625
300833B2DDD9014000000018,2.534136262,-32,-1.625
300833B2DDD9014000000000,4.479223901,-36,9.75
300833B2DDD9014000000002,2.429825568,-32.5,-1.625
300833B2DDD9014000000000,2.503456646,-29,-4.875
300833B2DDD9014000000029,1.945087639,-33.5,-3.25
300833B2DDD9014000000000,0.159534002,-47,1.625
300833B2DDD9014000000000,1.767145868,-59.5,-22.75
300833B2DDD901400000002E,3.417709195,-54.5,4.875
